DESCRIPTION,INCIDENT-NUMBER,LOCATION,AGENCY,DATE,LONGITUDE,LATITUDE
SUSPICIOUS PERSON,V1029113404,2700 BILLINGS PARK DR,Charlotte-Mecklenburg Police,10-29-2021 11:34 AM,-80.70767,35.29662
TRESPASS,20211029-1122-02,9500 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 11:22 AM,-80.72407,35.30576
LARCENY-OTHER,20211029-0730-05,400 WALDEN STATION DR,Charlotte-Mecklenburg Police,10-29-2021 7:30 AM,-80.74671,35.31377
LARCENY-OTHER,20211029-0715-04,8300 PACES OAKS BV,Charlotte-Mecklenburg Police,10-29-2021 7:15 AM,-80.73975,35.29173
LARCENY FROM AUTO,20211029-0620-00,1900 WINSTED CT,Charlotte-Mecklenburg Police,10-29-2021 6:20 AM,-80.70137,35.31788
SUSPICIOUS VEHICLE,V1028215002,9600 VINCA CR,Charlotte-Mecklenburg Police,10-28-2021 9:50 PM,-80.72545,35.29976
FRAUD,20211028-2059-00,7700 N TRYON ST,Charlotte-Mecklenburg Police,10-28-2021 8:59 PM,-80.75589,35.29239
LARCENY-OTHER,20211028-1824-03,900 E W T HARRIS BV,Charlotte-Mecklenburg Police,10-28-2021 6:24 PM,-80.74324,35.29571
LARCENY-OTHER,20211028-1639-02,9800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-28-2021 4:39 PM,-80.72019,35.30827
LARCENY-SHOPLIFTING,20211028-1548-02,200 STETSON DR,Charlotte-Mecklenburg Police,10-28-2021 3:48 PM,-80.76113,35.2893
LARCENY FROM AUTO,20211028-1523-02,9400 BONITA LN,Charlotte-Mecklenburg Police,10-28-2021 3:23 PM,-80.74157,35.32369
FRAUD,20211028-1458-03,8400 N TRYON ST,Charlotte-Mecklenburg Police,10-28-2021 2:58 PM,-80.75209,35.30191
LARCENY FROM AUTO,20211028-1252-02,8500 N TRYON ST,Charlotte-Mecklenburg Police,10-28-2021 12:52 PM,-80.7506,35.30405
LARCENY FROM AUTO,20211028-0954-04,9800 CAMPUS WALK LN,Charlotte-Mecklenburg Police,10-28-2021 9:54 AM,-80.72648,35.31395
FRAUD,20211028-0935-04,400 BERKELEY HILL DR,Charlotte-Mecklenburg Police,10-28-2021 9:35 AM,-80.7411,35.32542
SUSPICIOUS PERSON,V1028034803,1700 PERGOLA PL,Charlotte-Mecklenburg Police,10-28-2021 3:48 AM,-80.71675,35.30765
LARCENY-OTHER,20211028-0236-00,7800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-28-2021 2:36 AM,-80.75185,35.29204
SUSPICIOUS VEHICLE,V1028020401,300 E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-28-2021 2:04 AM,-80.7556,35.30122
LARCENY FROM AUTO,20211027-1909-00,8900 AVEBURY DR,Charlotte-Mecklenburg Police,10-27-2021 7:09 PM,-80.72763,35.28854
NON-AGGRAVATED ASSAULT,20211027-1838-00,9600 N TRYON ST,Charlotte-Mecklenburg Police,10-27-2021 6:38 PM,-80.73938,35.3161
NON-AGGRAVATED ASSAULT,20211027-1827-00,9500 SHANNON GREEN DR,Charlotte-Mecklenburg Police,10-27-2021 6:27 PM,-80.72618,35.29718
LARCENY-OTHER,20211027-1823-00,9000 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 6:23 PM,-80.73171,35.30093
LARCENY FROM BUILDING,20211027-1705-06,8600 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 5:05 PM,-80.73834,35.29622
LARCENY-OTHER,20211027-1650-02,10800 DERRYRUSH DR,Charlotte-Mecklenburg Police,10-27-2021 4:50 PM,-80.71539,35.30314
FRAUD,20211027-1517-01,8200 IKEA BV,Charlotte-Mecklenburg Police,10-27-2021 3:17 PM,-80.76273,35.29434
NON-AGGRAVATED ASSAULT,20211027-1515-01,9800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 3:15 PM,-80.72019,35.30827
LARCENY-OTHER,20211027-1412-02,9200 AMY DR,Charlotte-Mecklenburg Police,10-27-2021 2:12 PM,-80.72625,35.29187
RESIDENTIAL BURGLARY,20211027-1330-03,9800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-27-2021 1:30 PM,-80.72019,35.30827
NON-AGGRAVATED ASSAULT,20211027-1212-03,8800 N TRYON ST,Charlotte-Mecklenburg Police,10-27-2021 12:12 PM,-80.74794,35.30781
FORGERY,20211027-0914-03,8700 J M KEYNES DR,Charlotte-Mecklenburg Police,10-27-2021 9:14 AM,-80.75112,35.30783
SUSPICIOUS VEHICLE,V1027090803,8300 IKEA BV,Charlotte-Mecklenburg Police,10-27-2021 9:08 AM,-80.76418,35.29309
SUSPICIOUS VEHICLE,V1027084402,8400 N TRYON ST,Charlotte-Mecklenburg Police,10-27-2021 8:44 AM,-80.75209,35.30191
NON-AGGRAVATED ASSAULT,20211026-2305-00,1200 REBECCA BAILEY DR,Charlotte-Mecklenburg Police,10-26-2021 11:05 PM,-80.71828,35.31375
LARCENY FROM AUTO,20211026-1742-02,9800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-26-2021 5:42 PM,-80.72019,35.30827
SUSPICIOUS VEHICLE,V1026164502,100 E MCCULLOUGH DR,Charlotte-Mecklenburg Police,10-26-2021 4:45 PM,-80.75483,35.30098
LARCENY-OTHER,20211026-1556-01,8000 PIKE RD,Charlotte-Mecklenburg Police,10-26-2021 3:56 PM,-80.75899,35.30722
LARCENY-OTHER,20211026-1540-01,900 CHUCK WAGON CT,Charlotte-Mecklenburg Police,10-26-2021 3:40 PM,-80.72074,35.31466
NON-AGGRAVATED ASSAULT,20211026-1416-05,7800 IBM DR,Charlotte-Mecklenburg Police,10-26-2021 2:16 PM,-80.76705,35.29851
AGGRAVATED ASSAULT-GUN,20211026-0817-05,1200 REBECCA BAILEY DR,Charlotte-Mecklenburg Police,10-26-2021 8:17 AM,-80.71828,35.31375
SUSPICIOUS PERSON,V1026080000,9800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-26-2021 8:00 AM,-80.72019,35.30827
SUSPICIOUS PERSON,V1025224501,1600 JEFFREY BRYAN DR,Charlotte-Mecklenburg Police,10-25-2021 10:45 PM,-80.72256,35.29884
NON-AGGRAVATED ASSAULT,20211025-2007-00,9900 JOHN REDFORD RD,Charlotte-Mecklenburg Police,10-25-2021 8:07 PM,-80.71794,35.31273
FRAUD,20211025-1836-04,9700 MALLARD GLEN DR,Charlotte-Mecklenburg Police,10-25-2021 6:36 PM,-80.73648,35.33062
AUTO THEFT,20211025-1755-04,9800 MALLARD GLEN DR,Charlotte-Mecklenburg Police,10-25-2021 5:55 PM,-80.73485,35.33038
SUSPICIOUS VEHICLE,V1025170801,8700 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-25-2021 5:09 PM,-80.73757,35.29825
NON-AGGRAVATED ASSAULT,20211025-1655-00,400 MICHELLE LINNEA DR,Charlotte-Mecklenburg Police,10-25-2021 4:55 PM,-80.73096,35.31749
AUTO THEFT,20211025-1448-00,9200 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-25-2021 2:48 PM,-80.72853,35.30212
LARCENY-OTHER,20211025-1244-00,8300 IKEA BV,Charlotte-Mecklenburg Police,10-25-2021 12:44 PM,-80.76418,35.29309
NON-AGGRAVATED ASSAULT,20211025-0955-03,8200 UNIVERSITY EXECUTIVE PARK DR,Charlotte-Mecklenburg Police,10-25-2021 9:55 AM,-80.75546,35.29887
SUSPICIOUS VEHICLE,V1025090800,2500 CAPROCK CT,Charlotte-Mecklenburg Police,10-25-2021 9:08 AM,-80.71545,35.28981
LARCENY FROM AUTO,20211025-0733-02,9100 POST CANYON LN,Charlotte-Mecklenburg Police,10-25-2021 7:33 AM,-80.73215,35.28633
COMMERCIAL BURGLARY,20211025-0703-03,7900 N TRYON ST,Charlotte-Mecklenburg Police,10-25-2021 7:03 AM,-80.75457,35.29671
ARMED ROBBERY,20211025-0306-04,8100 PIKE RD,Charlotte-Mecklenburg Police,10-25-2021 3:06 AM,-80.75963,35.30548
LARCENY-SHOPLIFTING,20211024-2244-03,8300 IKEA BV,Charlotte-Mecklenburg Police,10-24-2021 10:44 PM,-80.76418,35.29309
NON-AGGRAVATED ASSAULT,20211024-2215-02,17800 HALTON PARK DR,Charlotte-Mecklenburg Police,10-24-2021 10:15 PM,-80.70643,35.31561
SUSPICIOUS VEHICLE,V1024213501,8500 N TRYON ST,Charlotte-Mecklenburg Police,10-24-2021 9:35 PM,-80.7506,35.30405
AUTO THEFT,20211024-1811-02,1900 DEMBRIGH LN,Charlotte-Mecklenburg Police,10-24-2021 6:11 PM,-80.70749,35.31835
LARCENY FROM AUTO,20211024-1728-03,8800 MEADOW VISTA RD,Charlotte-Mecklenburg Police,10-24-2021 5:28 PM,-80.73712,35.29303
SUSPICIOUS PERSON,V1024155700,9300 N TRYON ST,Charlotte-Mecklenburg Police,10-24-2021 3:57 PM,-80.74024,35.31264
LARCENY FROM AUTO,20211024-1145-04,9500 PUDDLE DUCK RD,Charlotte-Mecklenburg Police,10-24-2021 11:45 AM,-80.73791,35.33216
